País,Coeficiente_Angular,Coeficiente_Linear,Equacao_Linear
Togo,768.5785714285713,-1547203.933333333,y = 768.58x + -1547203.93
Toquelau,0.07499999999999998,-150.99999999999997,y = 0.07x + -151.00
Trinidade Tobago,-10.157142857142857,20536.2,y = -10.16x + 20536.20
Tunísia,0.0,0.0,y = 0.00x + 0.00
Turquia,721.4857142857144,-1452559.2000000002,y = 721.49x + -1452559.20
Tuvalu,0.028571428571428564,-57.466666666666654,y = 0.03x + -57.47
Uruguai,24294.260714285712,-48902650.39999999,y = 24294.26x + -48902650.40
Vanuatu,0.2571428571428572,-517.2,y = 0.26x + -517.20
Venezuela,4541.525,-9142611.399999999,y = 4541.52x + -9142611.40
Vietnã,-201.54642857142855,406975.6666666666,y = -201.55x + 406975.67
