País,Coeficiente_Angular,Coeficiente_Linear,Equacao_Linear
Guine Equatorial,57.84285714285706,-111245.4666666665,y = 57.84x + -111245.47
Haiti,61439.07857142857,-123647925.8,y = 61439.08x + -123647925.80
Honduras,-0.75,1514.0,y = -0.75x + 1514.00
Hong Kong,2372.4964285714286,-4748855.533333333,y = 2372.50x + -4748855.53
Hungria,-77.51071428571427,156573.99999999997,y = -77.51x + 156574.00
Ilha de Man,138.61071428571427,-279044.86666666664,y = 138.61x + -279044.87
Ilhas Virgens,0.0,0.0,y = 0.00x + 0.00
India,30.732142857142858,-61852.0,y = 30.73x + -61852.00
Indonésia,0.8357142857142859,-1682.4,y = 0.84x + -1682.40
Irã,7.553571428571428,-15200.533333333331,y = 7.55x + -15200.53
Iraque,0.0,0.0,y = 0.00x + 0.00
Irlanda,-1353.4964285714284,2735655.0666666664,y = -1353.50x + 2735655.07
Itália,-879.6607142857142,1784660.1999999997,y = -879.66x + 1784660.20
Jamaica,0.0,0.0,y = 0.00x + 0.00
Japão,-12376.299999999996,25101098.333333325,y = -12376.30x + 25101098.33
Jordânia,0.7428571428571428,-1494.1333333333332,y = 0.74x + -1494.13
Letônia,13.496428571428567,-26960.066666666655,y = 13.50x + -26960.07
Líbano,0.0,0.0,y = 0.00x + 0.00
Libéria,2708.3250000000003,-5450574.533333333,y = 2708.33x + -5450574.53
Luxemburgo,-3366.4857142857145,6809144.600000001,y = -3366.49x + 6809144.60
Macau,0.14999999999999997,-301.99999999999994,y = 0.15x + -302.00
Malásia,1.4142857142857146,-2841.6666666666674,y = 1.41x + -2841.67
Malavi,156.29999999999998,-314684.0,y = 156.30x + -314684.00
Malta,1456.4464285714287,-2931199.466666667,y = 1456.45x + -2931199.47
"Marshall, Ilhas",2244.6285714285714,-4517218.466666667,y = 2244.63x + -4517218.47
Martinica,0.7750000000000001,-1560.3333333333337,y = 0.78x + -1560.33
Mauritânia,1.5178571428571426,-3054.333333333333,y = 1.52x + -3054.33
México,-220.12499999999997,446695.7333333333,y = -220.12x + 446695.73
Moçambique,41.29285714285714,-83117.93333333333,y = 41.29x + -83117.93
Montenegro,1.9392857142857138,-3900.866666666666,y = 1.94x + -3900.87
Namíbia,0.0,0.0,y = 0.00x + 0.00
Nicarágua,-0.6000000000000002,1211.2000000000003,y = -0.60x + 1211.20
Nigéria,4170.189285714286,-8389501.333333332,y = 4170.19x + -8389501.33
Noruega,-1002.2464285714285,2038308.4666666666,y = -1002.25x + 2038308.47
Nova Caledônia,212.92857142857144,-428469.0666666667,y = 212.93x + -428469.07
Nova Zelândia,53.77142857142861,-102910.80000000008,y = 53.77x + -102910.80
Omã,14.357142857142856,-28899.33333333333,y = 14.36x + -28899.33
Países Baixos,-30688.8,62069483.06666666,y = -30688.80x + 62069483.07
Palau,3.5749999999999997,-7197.666666666666,y = 3.57x + -7197.67
Panamá,4333.207142857143,-8720491.799999999,y = 4333.21x + -8720491.80
Paraguai,523593.61428571417,-1052707245.9999998,y = 523593.61x + -1052707246.00
Peru,2736.3678571428563,-5507312.866666665,y = 2736.37x + -5507312.87
Pitcairn,0.55,-1107.3333333333335,y = 0.55x + -1107.33
Polônia,-6962.353571428571,14072992.6,y = -6962.35x + 14072992.60
Porto Rico,0.0,0.0,y = 0.00x + 0.00
Portugal,-2874.792857142857,5834168.266666666,y = -2874.79x + 5834168.27
Quênia,261.0214285714285,-523968.0666666665,y = 261.02x + -523968.07
Reino Unido,-18929.57857142857,38471426.06666666,y = -18929.58x + 38471426.07
República Dominicana,0.0,0.0,y = 0.00x + 0.00
Rússia,-324141.05714285705,655011818.9333332,y = -324141.06x + 655011818.93
São Cristóvão e Névis,0.7750000000000001,-1560.3333333333337,y = 0.78x + -1560.33
São Tomé e Príncipe,16.83571428571429,-33783.66666666667,y = 16.84x + -33783.67
São Vicente e Granadinas,5.425,-10920.933333333332,y = 5.42x + -10920.93
Senegal,0.0,0.0,y = 0.00x + 0.00
Serra Leoa,1714.4785714285715,-3451025.3333333335,y = 1714.48x + -3451025.33
Singapura,1081.432142857143,-2176863.1333333333,y = 1081.43x + -2176863.13
Suazilândia,0.4285714285714285,-862.3999999999999,y = 0.43x + -862.40
Suécia,-1940.7607142857128,3930162.4666666635,y = -1940.76x + 3930162.47
Suíça,-3188.939285714285,6476815.599999998,y = -3188.94x + 6476815.60
Suriname,-94.15714285714293,193154.13333333348,y = -94.16x + 193154.13
Tailândia,150.8214285714286,-303505.4000000001,y = 150.82x + -303505.40
Taiwan (Formosa),247.67142857142872,-480747.666666667,y = 247.67x + -480747.67
Tanzânia,0.0,0.0,y = 0.00x + 0.00
"Tcheca, República",-1970.8500000000004,3992902.5333333337,y = -1970.85x + 3992902.53
Togo,1215.5464285714281,-2447017.9333333327,y = 1215.55x + -2447017.93
Toquelau,0.25,-503.3333333333333,y = 0.25x + -503.33
Trinidade Tobago,-50.28571428571428,101663.99999999999,y = -50.29x + 101664.00
Tunísia,0.0,0.0,y = 0.00x + 0.00
Turquia,2415.292857142857,-4862752.999999999,y = 2415.29x + -4862753.00
Tuvalu,0.05714285714285713,-114.93333333333331,y = 0.06x + -114.93
Uruguai,35474.62499999999,-71405234.06666665,y = 35474.62x + -71405234.07
Vanuatu,0.4428571428571429,-890.7333333333333,y = 0.44x + -890.73
Venezuela,6891.307142857142,-13872252.533333333,y = 6891.31x + -13872252.53
Vietnã,-249.54642857142852,503961.66666666657,y = -249.55x + 503961.67
